id,customer_id,order_date,status,total_amount,shipping_address,created_at
fbbc9817-1e6b-47b0-a400-f37dd6582888,9b1a83ad-6139-43ce-abd6-482bc813115e,2023-10-18,shipped,8039.95,90 Evergreen Crossing,2026-03-24
e864dcd4-2788-40e7-8122-677f58997c63,0d3c2e57-0b3f-4ac3-b539-ebcf362d0c89,2026-01-29,delivered,1239.61,62 Emmet Hill,2025-12-19
301adb5a-6801-4532-b1b5-43a68cf44bda,4bd15403-bb5f-441d-8676-db365d07cd15,2025-07-15,delivered,6359.95,6 Erie Place,2025-06-13
23af181c-211f-4857-b3d5-256624e369bb,084a33f7-a4ec-4ce5-9c64-2e101e2405fc,2023-11-19,pending,5623.66,17 Birchwood Park,2026-02-17
6d7a69d8-2e2a-41b7-a75b-c49afaddb4d9,2a1eb817-f4c2-41fd-9b90-fff0a7b587e5,2023-11-21,processing,394.19,33851 Novick Street,2026-05-24
18de7b04-236a-4d7b-8aa6-5e376e5775f8,937ae2ce-9f3d-4293-8be5-b717e7c555e5,2024-08-09,delivered,8863.95,4588 East Lane,2026-02-26
1781ce07-0b35-4488-8482-71ee289d9ade,a7e68017-ed3f-49ce-b0ad-a1f99cf9a85b,2023-03-09,pending,4340.74,69 Golf View Hill,2026-01-11
c6ffe540-949e-4196-a4f0-c9ec4410d9b8,94fd5c93-97f1-4f30-8ea7-85a9f0df36a9,2023-07-20,canceled,626.42,69 Kropf Junction,2025-11-15
d1d13252-a8c3-4cf4-af27-38cdda1a6f5e,c964f4ac-6168-4ba2-b43f-5388b852ec41,2023-03-21,shipped,5626.06,1 Ronald Regan Hill,2025-10-21
4ea14626-be03-4745-b2cd-ea6cd832440e,d9e8d177-b88f-4b41-aa7e-d09f412677ee,2026-03-26,canceled,3717.46,5195 Arapahoe Pass,2026-03-26
e4091f47-9c7a-47f5-892c-f1b8edec80de,0bebfa49-555a-43b3-b5bd-2c5bd7875ec2,2026-03-15,processing,2094.74,581 Bonner Road,2026-04-04
a6588969-a134-4517-bd0c-a896198cbe52,31eb7664-89f8-4459-8571-ecdbc04a6fd0,2025-02-13,processing,6586.29,523 Welch Terrace,2025-08-23
27d6685a-b26d-4351-8177-8f8dc481d28b,518a84fd-bc80-4efd-a3e0-0a42775dc9fb,2024-08-18,paid,6042.41,3388 Scofield Parkway,2026-02-17
02311a98-1b52-40fc-ac56-c1328aad0548,ab782ce7-50eb-40d3-b700-65c30da926be,2025-02-24,paid,9986.07,3 Kings Terrace,2025-06-30
d0dff004-b1c0-4108-a10a-94448f021213,58b8b625-5675-49de-b1ae-34915e7b2865,2025-02-18,processing,3841.68,992 Dorton Pass,2025-10-07
fff49934-73a9-4140-914a-e7be236aa9f1,13271477-1ad1-4807-87c8-46956ca36727,2024-07-13,pending,9585.22,4 Melrose Way,2025-10-04
02c8cea3-54d3-46ca-9307-1510e0387325,1ea7f856-54e5-47a9-903c-dcb725d716aa,2023-12-20,pending,4191.44,95777 Holy Cross Terrace,2025-11-03
a25c1503-f713-4436-a793-e2ef8372aa8b,39ad19c3-b3da-4f8f-8481-58266a9f64df,2023-07-08,delivered,7054.17,5 Division Avenue,2026-01-23
1f46186b-4b02-4d5f-9de7-24b02ab0764a,1d9ed980-f054-48ce-9617-23b3ce7753a3,2025-07-24,paid,3355.73,83 Mendota Street,2025-07-13
c82121f7-6111-4efb-8c86-4f869aa50262,3b4255f0-907a-424f-b736-abf5d3ca8ee7,2025-08-22,delivered,6899.90,8189 Main Circle,2025-11-03
972ae1de-25a6-4ffb-ad73-1299e905fcbe,364a72ff-a2ef-463d-acfe-37d6fb6f2268,2025-12-14,delivered,7008.66,9 Clove Hill,2025-09-07
39ee40bf-b631-49a0-958f-f4e82751a3ba,df981d8a-5bdb-4600-bb2d-baa89f9a9f83,2024-07-30,refunded,226.31,8648 Birchwood Park,2026-01-13
ed544fe2-38d7-42fa-b9d1-3e8a774d52cb,10007180-0944-4f03-b4a1-c2d95675b1a6,2023-12-24,shipped,7189.57,506 Blaine Parkway,2025-07-31
ff569651-9d9e-4d49-a418-622abd780b9e,f1d267a2-1c48-40ab-add4-60a8f5217174,2024-01-13,canceled,3406.24,6409 Service Road,2026-05-08
0c100290-129c-4b90-b9cf-b2f255a35c6d,8b3765fa-5991-4089-b017-7c78e0d19273,2024-08-17,processing,4939.21,2 Banding Hill,2026-04-20
c5bbe62f-e07a-448e-8202-b11a9978851d,4234115a-8726-4768-be13-054e14002905,2023-09-27,pending,6152.15,6 Golden Leaf Hill,2026-03-13
3d2b2eac-64ed-4775-8e4e-450f9640dd5b,5c259c0e-e84d-42a7-b03a-963e84489ae1,2024-03-25,pending,6575.70,8032 Valley Edge Circle,2026-03-25
a529e70c-2d72-4d9d-85a8-c4e273ad435b,64b527c6-c42a-4b02-940d-e2a98f02a5ce,2023-11-30,refunded,6003.76,30 Talisman Way,2025-12-16
2a7f7790-c683-4804-9100-cff9531c6cbf,d368d088-f6af-4251-a945-7cdbd48d1e4e,2025-01-04,pending,6803.57,45972 Messerschmidt Drive,2025-06-08
56056b25-0f40-4457-a9e3-5532e5e8af13,37036ae1-8f04-476e-b092-5129643df962,2026-05-26,refunded,9315.65,329 Stoughton Way,2025-06-22
d96eb8e5-95d6-4385-9759-fe326597e751,b475d927-9a6f-434f-9803-186ed64b308a,2025-08-13,canceled,257.94,650 Kingsford Alley,2025-10-08
a5dd7cea-351e-4479-b59e-41bf15edf32c,3ec33ae7-df43-4f0c-b097-51fb59584d82,2024-10-02,shipped,6801.03,19262 Superior Place,2025-06-05
1e52034d-6f60-40d0-8c19-4e83a566c49c,069d5e1e-2a5c-40c7-9547-76ca3aaf5583,2026-02-15,processing,3374.86,82 Pankratz Center,2026-01-13
35c48875-5ffb-4f65-8076-dec004153a1f,2f905cb6-8727-4d3e-8f5e-75b19d7b0b55,2023-06-06,pending,5553.06,93 Fairfield Lane,2025-12-10
10a9195e-119c-4955-a45c-62c8a9fa4f3a,c659f0dc-514e-468f-844c-a009202a250e,2024-10-07,refunded,6900.63,156 Donald Trail,2025-10-20
74296b8f-06dd-4c9e-9d38-4565abab4a08,3910e8a6-2d64-4dd4-bac7-ea292927e481,2024-07-03,shipped,834.40,83105 Jackson Lane,2025-10-07
604a0b45-033f-4045-adb8-3acf3c8bcb17,1c5be29b-0fde-4959-b76d-bd0e3a203466,2024-06-25,processing,3517.80,0 Pawling Park,2026-03-24
c4a14e22-e622-4788-9d99-361212f5b724,622c530f-2eb5-4fa8-a26d-d218a1db6309,2024-05-14,canceled,6078.19,00291 Melby Pass,2025-11-05
6906b1b0-22c9-4c62-b101-93d984a55da6,5a3fa9f3-6ae5-4bee-b8de-57b159c93fce,2023-02-22,processing,6230.51,3871 Orin Avenue,2026-04-12
304cffbd-1f6f-44a5-81fc-eafc6d525a6f,85ab6e5f-085f-493b-bd36-fea6a408a322,2024-05-01,pending,3840.27,99827 Montana Court,2026-01-18
df6471fd-c4bd-42f9-93ab-a2c82e459de6,ce19eda6-49b7-4781-8e82-639568762f4f,2023-06-30,processing,7560.58,5 Myrtle Junction,2026-03-28
6132ecf3-cea2-47de-bc73-f8d45d74a292,32dfc915-337b-42c0-8955-541d88da6104,2025-07-06,shipped,7361.66,08069 Morning Crossing,2025-09-03
600f9abf-f873-4b74-bef6-62677aca6880,57fe05fd-cd7a-4964-8f01-3e4bd3a65112,2025-02-09,canceled,6741.61,1 Iowa Way,2025-07-12
12222059-3876-4598-b9bd-f185127eb7ab,3a7d2c3f-3a8f-4be0-a3c2-9aa27b4140af,2025-02-14,processing,3616.35,901 Hoepker Parkway,2025-10-23
d7762d5e-870b-4f49-bf98-9ba1b8636698,d544db52-8e89-4706-a8be-87f62ff09b1e,2024-11-19,paid,5240.91,2105 Schmedeman Point,2026-04-11
460251f6-eaf0-475c-bb66-cec56a8c57c5,5dee1661-a739-4830-8df7-a855f1e8120e,2025-06-14,shipped,6229.54,542 Victoria Way,2026-04-28
33434c43-3f31-4269-9331-1a0442b260c1,2653a148-bdc6-442f-a1cb-48f314a5df5d,2023-11-08,delivered,4106.28,51 Heath Terrace,2025-06-22
c47e440d-09a3-4f72-acca-6cb03bdaf964,a3cc35f5-cdd2-428b-8243-65c84ad7bcdb,2025-04-07,processing,2581.12,30 Eliot Circle,2026-02-15
f3114b88-27ad-4456-bf18-8235c7bdbc61,bd0026ef-091e-418c-b53b-a3eed9f4dc32,2026-01-13,refunded,9971.55,3463 Vernon Way,2025-08-13
2801ee32-07d5-4d79-9485-b2a95004ed10,85ab6e5f-085f-493b-bd36-fea6a408a322,2025-10-14,shipped,2880.06,0085 Artisan Court,2025-11-07
d3e78836-fb3d-4364-b480-256bed20b5f2,78a43f4b-2e59-4f13-b097-a9149306dcd6,2025-08-19,processing,3254.63,139 Mosinee Pass,2025-11-05
9a36d11f-757e-4cd5-b0ad-6c8df3cfe208,52161676-d3b8-4e22-826e-4180c9324ad3,2025-12-10,processing,2984.41,7 Saint Paul Hill,2025-12-30
1a7e64f0-6e4e-46b0-9820-3cf8725bacc0,8519255f-e4b6-4f83-8bb1-23677d0425e5,2025-03-17,refunded,1649.63,6989 Autumn Leaf Drive,2025-06-20
156e7411-d632-4917-b4ec-d49980dd7a7e,e2d085b7-0623-43e0-9404-65cc5ef730d7,2024-02-23,delivered,1085.78,285 Porter Circle,2025-11-14
10000748-627f-4b76-b6e7-0df82351b395,ccf3a77e-ebc1-4850-8cf7-5f96d103b772,2024-05-20,shipped,2006.86,79 Scott Circle,2025-10-18
7e07b11f-ea47-402f-8f34-3dcef4caefb6,f49ded1a-3f97-4912-a13c-edd505ff4bee,2024-03-14,processing,1289.88,7998 Sutteridge Point,2025-08-22
de320190-86a8-47a9-b7c8-03d06b94dd60,f5bf5c67-047e-427d-858d-b22b3b9eb00e,2024-09-19,processing,4212.69,7 Village Green Place,2025-12-24
69a294c1-3b42-4025-8316-5628501b45a1,7c97cc60-1fd5-419a-afea-7f0e55fd3d30,2026-04-01,paid,3501.46,9 Glendale Lane,2025-06-21
ebb60ad8-6357-41d8-84b1-6962f2583ac0,93f063bf-ecd8-471e-b185-4b9794392024,2023-04-10,pending,1096.86,9414 Annamark Pass,2025-08-11
32aa4895-fb6b-4aa7-9e37-4f149bce4e2d,75d6c379-3071-4e5f-83f5-5f6f98f64fe5,2026-02-05,processing,7336.67,5 Quincy Parkway,2026-02-15
eceff1e3-c7b4-4536-92e3-159f2c9665f9,c3dc9ace-1162-41ca-8fa6-7d8d472c5610,2026-03-05,processing,8977.00,7448 2nd Junction,2025-11-10
f21647dc-c908-43d2-b7f7-57cb7336439b,5949ecd1-47bb-4ef9-8841-be9756587cb8,2023-06-10,refunded,1643.24,0216 Spohn Drive,2026-02-09
1817071b-c7fc-43c0-8579-925d59ed6811,ec960e7a-fabf-4810-b863-fc7f48b17d35,2025-11-25,refunded,893.57,0829 Magdeline Place,2025-09-30
b19ff350-cfba-424b-aa07-9d3535933db7,0306515e-92ec-408d-8618-a0144b98ccc0,2024-02-16,delivered,9589.45,0 Northfield Court,2025-12-25
59d8a091-669c-4780-97a1-6c49ffedcb5d,7f2ed47f-6c83-46b5-8f37-6d546803b8e9,2024-11-18,paid,2942.95,7 Crownhardt Alley,2025-08-23
05b9bfda-202c-4f44-95c7-bfc1f67d37e3,1ce5e118-190e-46d6-8c6b-4eb48e925c8a,2024-01-27,refunded,4871.38,9 Cottonwood Trail,2025-06-06
2a41e6f2-8e38-4c8e-bd13-06fc4716d34e,8b3765fa-5991-4089-b017-7c78e0d19273,2024-02-27,paid,612.09,72998 Autumn Leaf Center,2025-07-18
8f71e8f8-a63b-49e2-bdd5-7e48f4bdf778,1ab665e6-3b70-406e-a352-7260c26b8f62,2023-05-13,paid,3254.25,421 Anzinger Junction,2025-08-07
de989ffc-2ba0-4ae0-b0d5-cafc72099d55,3a1ed01c-8eb6-4dcb-bcec-748019351be0,2024-12-20,shipped,2570.85,02148 Thompson Crossing,2025-11-23
82151bd1-1a66-4611-99f4-111e7b57c5a1,0d3c2e57-0b3f-4ac3-b539-ebcf362d0c89,2025-06-27,shipped,6599.65,98 Straubel Avenue,2025-08-28
752735e7-55a0-4409-bdbf-ab1935d7afc1,627517aa-0a70-4f67-a02e-bb6624cf4e31,2025-02-13,paid,6305.35,462 Lillian Trail,2025-11-06
ce66d4e9-ba32-4a55-9edc-d888b5fc2e49,9d781ee6-7f44-4144-9d5e-35b7d015b1e1,2024-03-09,processing,4122.50,7 3rd Court,2025-09-06
2b365453-c8cb-4829-8a3d-e82eb9b71690,0ddbcd6e-0a8a-43e3-999d-0224fe520174,2025-02-27,pending,6557.98,3768 Fieldstone Plaza,2025-07-04
55a8af73-fc1c-49df-93e2-deafb4d0db4a,23c853d0-2b13-42d0-ac61-52a1a3651481,2025-12-15,paid,1584.72,1786 Randy Lane,2026-02-14
736caf8f-e8f6-4fd4-9262-3f13495787e7,8a801116-2826-471c-9c83-3248262037b0,2025-12-20,processing,2016.48,8 Crescent Oaks Pass,2026-02-17
9e2425d8-da3c-4f39-b2ec-b09e614db42b,06884274-10f1-4305-b3e3-f17289c56c1b,2024-02-12,refunded,8426.60,7964 Havey Plaza,2025-12-29
b20bb70d-e08f-4c86-867b-ee7512098cc5,149ceece-7cd8-4957-8b71-ff2264ccd064,2025-11-25,pending,9234.75,472 Prairieview Lane,2025-12-30
a8c9c6a1-e21c-4da6-841a-c5b9858a99f6,0b2741f7-8fd4-41f7-af17-62e5f2a58334,2025-10-23,refunded,626.95,67 Karstens Plaza,2025-06-05
6adca90f-d9c4-4540-895e-3ea9bf4198f0,b73eefb4-34b2-482c-aa74-0730c225a829,2025-01-02,refunded,6688.32,2787 Anniversary Pass,2025-11-18
f7563e39-070f-46c2-a3cf-11cdb88629aa,c5c2a676-2cf3-49f5-8b4d-32ec011c5171,2025-01-14,paid,1965.51,488 Artisan Alley,2025-07-03
da21b21e-30e2-4407-8299-09df1133560e,272f6ebe-273b-49a1-9aef-8bdf22988267,2024-06-29,delivered,4706.25,2 Packers Parkway,2025-08-27
b4e3538f-9e50-4371-8e6a-4e0e2b9a3322,5c7e2a4f-2a83-4c64-9e3b-d337852f8483,2023-08-03,paid,51.59,04 Kipling Hill,2026-03-13
a402a84d-eeb0-48ff-9976-21e228045869,aa712226-28f0-49fc-83e0-23843c29fe4c,2024-07-03,processing,939.94,52248 6th Terrace,2026-05-03
e504c746-5b09-478d-889e-396deea45e74,b6a1bb5b-744a-4227-ba37-fbc6e06b3535,2025-03-29,canceled,3119.37,2 Lien Road,2025-06-20
f18ce207-7a58-4752-945f-64877d48f7b5,92dd6c9d-6081-499c-b562-ccb4f7fe88a2,2024-06-23,shipped,2264.92,10 Texas Point,2025-09-16
17695871-2cab-4b63-96af-bc475b77e157,483bd330-467e-40b1-aee0-fa492f428cdd,2026-05-21,delivered,2341.92,71 Milwaukee Trail,2025-09-10
2c5d7256-86dd-4172-80df-4e8b5d46951f,3924c00b-bfc8-455a-85c1-b6afc55e3e69,2023-12-14,refunded,7476.91,6579 Golf View Plaza,2025-07-16
e25b995e-63f5-4a19-a808-ec41c4102c94,943d9fd2-64bd-4fff-b28d-41b511d562e6,2025-10-13,delivered,12.76,236 Merchant Pass,2026-05-13
b99da001-126b-44c4-b708-436fd82347e9,9f87b328-d18c-4d6d-ba47-f5a0b818d2f8,2023-05-08,shipped,4212.95,86 Meadow Ridge Avenue,2025-11-01
fa8b20a7-7fbf-41d6-9580-a3927cebed3d,d544db52-8e89-4706-a8be-87f62ff09b1e,2023-12-19,refunded,7770.67,0 Corscot Hill,2025-09-20
bc7d4a16-a786-4bee-804c-f62a8092a8aa,769742c7-b9f0-4b6a-a9e1-ec3614c3b62b,2024-07-18,paid,2558.11,53 Merrick Trail,2026-05-02
81983d5f-d54b-485b-b9d9-3039a80dcbef,9eb69122-685c-437d-934f-217bb3415e5c,2023-10-04,canceled,1017.81,28653 Roth Lane,2025-07-01
76a42282-9d9b-499c-9bbb-2a6f71ebe478,fcaacb7e-c177-45fc-85c4-8b5c10aa66a6,2025-08-15,paid,1834.51,90137 Thierer Plaza,2026-03-21
30fea46b-ff33-470d-b200-2ffad1c732ac,39cb8791-39c6-4560-affe-c8999acaa2f9,2025-02-23,canceled,1190.72,5 Northwestern Crossing,2025-08-30
1dd06976-3dbb-4459-8eca-66b887a55403,a2f87a6f-02c7-498a-af8e-046a9d90739b,2023-05-08,delivered,2652.81,56 Montana Alley,2025-07-02
4672ae3d-17be-4ec2-a098-c074a5e92032,7d024e5a-33b3-4367-ac34-52582e61170a,2024-09-09,processing,9087.26,017 Mesta Way,2025-08-28
